portrait flashing,En,Nl,De,No,,,landscape flashing,En,Nl,De,No,,,Sarking Bracket List,En,Nl,De,No,,,PV Panel List,En,Nl,De,No
TL,Clearline Fusion F16 portrait roofing kit - Left,ClearlineFusion F16 gootstukkenpakket portretgericht – links,Clearline Fusion F16 Hochformat-Eindeckrahmen - linksseitig,Clearline Fusion F16 portrett pakningssett - Venstre,,,LL,Clearline Fusion F16 landscape roofing kit - Left,ClearlineFusion F16 gootstukkenpakket landschapsgericht – links,Clearline Fusion F16 Querformat-Eindeckrahmen - linksseitig,Clearline Fusion F16 landskap pakningssett - Venstre,,,SP-5,Rafter bracket spacer 5mm - pack of 20,Vulplaatje dakspantbeugel 5mm - set van 20,Unterlegscheiben für Sparrenbefestigungssatz 5 mm - Packung zu 20 Stück,Lekte braketter spacere 5mm - pakke på 20,,,PV16-320,"320 Wp Clearline PV High Performance Monocrystalline Silicon Solar Photovoltaic Panel, with black backsheet and specialised black frame for roof integration in combination with Clearline Fusion flashing kits. ",320 Wp Clearline PV High Performance Monokristallijn PV indakzonnepaneel. Met zwarte onderlaag en speciaal zwart frame voor dakintegratie in combinatie met Fusion-gootstukken ,"320 Wp Clearline Fusion Hochleistungssolarmodul aus monokristallinem Silizium, mit schwarzer Trägerplatte und speziellem schwarzen Rahmen für die Dachintegration in Kombination mit Clearline Fusion Eindeckrahmensets.","320Wp Clearline Premium  Monokrystallinske paneler, spesial tilpasset svart ramme for bruk sammen med Clearline Fusion pakningssett."
TR,Clearline Fusion F16 portrait roofing kit - Right,ClearlineFusion F16 gootstukkenpakket portretgericht – rechts,Clearline Fusion F16 Hochformat-Eindeckrahmen - rechtsseitig,Clearline Fusion F16 portrett pakningssett - Høyre,,,LR,Clearline Fusion F16 landscape roofing kit - Right,ClearlineFusion F16 gootstukkenpakket landschapsgericht – rechts,Clearline Fusion F16 Querformat-Eindeckrahmen - rechtsseitig,Clearline Fusion F16 landskap pakningssett - Høyre,,,SP-5J,Rafter joining bracket spacer 5mm - pack of 20,Vulplaatje dakspantverbindingsbeugel 5mm - set van 20,Unterlegscheiben für Sparrenverbindungssatz 5 mm - Packung zu 20 Stück,Lekte tilbehør spacere 5mm - pakke på 20,,,PV16-300,"300 Wp Clearline PV High Performance Monocrystalline Silicon Solar Photovoltaic Panel, with black backsheet and specialised black frame for roof integration in combination with Clearline Fusion flashing kits. ",300 Wp Clearline PV High Performance Monokristallijn PV indakzonnepaneel. Met zwarte onderlaag en speciaal zwart frame voor dakintegratie in combinatie met Fusion-gootstukken ,"300 Wp Clearline Fusion Hochleistungssolarmodul aus monokristallinem Silizium, mit schwarzer Trägerplatte und speziellem schwarzen Rahmen für die Dachintegration in Kombination mit Clearline Fusion Eindeckrahmensets.","300Wp Clearline Premium  Monokrystallinske paneler, spesial tilpasset svart ramme for bruk sammen med Clearline Fusion pakningssett."
TC,Clearline Fusion F16 portrait roofing kit - Centre,ClearlineFusion F16 gootstukkenpakket portretgericht – centraal,Clearline Fusion F16 Hochformat-Eindeckrahmen - Mitte,Clearline Fusion F16 portrett pakningssett - Senter,,,LC,Clearline Fusion F16 landscape roofing kit - Centre,ClearlineFusion F16 gootstukkenpakket landschapsgericht – centraal,Clearline Fusion F16 Querformat-Eindeckrahmen - Mitte,Clearline Fusion F16 landskap pakningssett - Senter,,,B22,Rafter bracket for 22mm batten - pack of 20,Dakspantbeugel voor 22 mm panlatten - pak van 20 stuks,Sparrenhalterung für 22mm Dachlaten - Packung mit 20 Stück,Braketter for 22 mm Lekter - pakke av 20,,,PV16-270P-B,"270 Wp Clearline PV High Performance Polycrystalline Silicon Solar Photovoltaic Panel, with black backsheet and specialised black frame for roof integration in combination with Clearline Fusion flashing kits. ",270 Wp Clearline PV High Performance Polykristallijn PV indakzonnepaneel. Met zwarte onderlaag en speciaal zwart frame voor dakintegratie in combinatie met Fusion-gootstukken,"270 Wp Clearline Fusion Hochleistungssolarmodul aus polykristallinem Silizium, mit schwarzer Trägerplatte und speziellem schwarzen Rahmen für die Dachintegration in Kombination mit Clearline Fusion Eindeckrahmensets.","270Wp Clearline Premium  Polykrystallinske paneler, svart bak folie, spesial tilpasset svart ramme for bruk sammen med Clearline Fusion pakningssett."
J,Clearline Fusion F16 portrait roofing kit - Joining,ClearlineFusion F16 gootstukkenpakket portretgericht – tussenverbinding,Clearline Fusion F16 Hochformat-Eindeckrahmen - Verbindungssatz,Clearline Fusion F16 portrett pakningssett - Topp senter-høyre,,,LJ,Clearline Fusion F16 landscape roofing kit - Joining,ClearlineFusion F16 gootstukkenpakket landschapsgericht – tussenverbinding,Clearline Fusion F16 Querformat-Eindeckrahmen - Verbindungssatz,Clearline Fusion F16 landskap pakningssett - Topp senter-høyre,,,B22J,Rafter joining bracket for 22mm batten - pack of 20,Dakspantverbindingsbeugel voor 22 mm panlatten - pak van 20 stuks,Sparren-Verbindungshalterung für 22-mm-Dachlatten - Packung mit 20 Stück,kombinasjons braketter for 22 mm lekter - pakke av 20 ,,,,,,,
TY,Clearline Fusion F16 portrait roofing kit - Row,ClearlineFusion F16 gootstukkenpakket portretgericht – rijverbinding,Clearline Fusion F16 Hochformat-Eindeckrahmen - Modulreihe,Clearline Fusion F16 portrett pakningssett - Topp venstre,,,LY,Clearline Fusion F16 landscape roofing kit - Row,ClearlineFusion F16 gootstukkenpakket landschapsgericht – rijverbinding,Clearline Fusion F16 Querformat-Eindeckrahmen - Modulreihe,Clearline Fusion F16 landskap pakningssett - Topp venstre,,,SB16-L,Fusion sarking bracket kit - for use with F16-TL on roofs without tile battens,Set Fusion-volplaatbeugels - voor gebruik met F16-TL op daken zonder panlatten,Fusion Dachschalungsbefestigungssatz - zur Verwendung mit F16-TL auf Dächern ohne Ziegellattung,Fusion sarking brakett kit - til bruk med F16-TL på tak uten taksteins lekter (Scottland),,,,,,,
VAT-16,Clearline Fusion F16 portrait roofing kit - single panel,Gootstukkenpakket portretgericht voor één (1 x) Clearline PV16-indakzonnepaneel,Clearline Fusion F16 Hochformat-Eindeckrahmen - Einzelmodul,Clearline Fusion F16 portrett pakningssett - Singel panel,,,VAL-16,Clearline Fusion F16 landscape roofing kit - single panel,Gootstukkenpakket landschapsgericht voor één (1 x) Clearline PV16-indakzonnepaneel,Clearline Fusion F16 Querformat-Eindeckrahmen - Einzelmodul,Clearline Fusion F16 landskap pakningssett - Singel panel,,,SB16-C,Fusion sarking bracket kit - for use with F16-TC on roofs without tile battens,Set Fusion-volplaatbeugels - voor gebruik met F16-TC op daken zonder panlatten,Fusion Dachschalungsbefestigungssatz - zur Verwendung mit F16-TC auf Dächern ohne Ziegellattung,Fusion sarking brakett kit - til bruk med F16-TC på tak uten taksteins lekter (Scottland),,,,,,,
CLT,Clearline Fusion portrait corner conversion kit - left top corner,ClearlineFusion conversiepakket portretgericht - linker bovenhoek,Clearline Fusion Hochformat-Eckumbausatz - Ecke oben links,Clearline Fusion portrett hjørnesett - Venstre topp hjørne,,,LCLT,Clearline Fusion landscape corner conversion kit - left top corner,ClearlineFusion conversiepakket landschapsgericht - linker bovenhoek,Clearline Fusion Querformat-Eckumbausatz - Ecke oben links,Clearline Fusion landskap hjørnesett - Venstre topp hjørne,,,SB16-R,Fusion sarking bracket kit - for use with F16-TR on roofs without tile battens,Set Fusion-volplaatbeugels - voor gebruik met F16-TR op daken zonder panlatten,Fusion Dachschalungsbefestigungssatz - zur Verwendung mit F16-TR auf Dächern ohne Ziegellattung,Fusion sarking brakett kit - til bruk med F16-TR på tak uten taksteins lekter (Scottland),,,,,,,
CRT,Clearline Fusion portrait corner conversion kit - right top corner,ClearlineFusion conversiepakket portretgericht - rechter bovenhoek,Clearline Fusion Hochformat-Eckumbausatz - Ecke oben rechts,Clearline Fusion portrett hjørnesett - Høyre topp hjørne,,,LCRT,Clearline Fusion landscape corner conversion kit - right top corner,ClearlineFusion conversiepakket landschapsgericht - rechter bovenhoek,Clearline Fusion Querformat-Eckumbausatz - Ecke oben rechts,Clearline Fusion landskap hjørnesett - Høyre topp hjørne,,,SB16-Y,Fusion sarking bracket kit - for use with F16-TY on roofs without tile battens,Set Fusion-volplaatbeugels - voor gebruik met F16-TY op daken zonder panlatten,Fusion Dachschalungsbefestigungssatz - zur Verwendung mit F16-TY auf Dächern ohne Ziegellattung,Fusion sarking brakett kit - til bruk med F16-TY på tak uten taksteins lekter (Scottland),,,,,,,
CLB-S,Clearline Fusion portrait corner conversion kit - left bottom corner (left panel above),Clearline Fusion conversiepakket portretgericht - linker benedenhoek (zonnepaneel linksboven),Clearline Fusion Hochformat-Eckumbausatz - Ecke unten links (Solarmodul oben links),Clearline Fusion portrett hjørnesett - Venstre nedre hjørne (venstre panel over),,,LCLB-S,Clearline Fusion landscape corner conversion kit - left bottom corner (left panel above),Clearline Fusion conversiepakket landschapsgericht - linker benedenhoek (zonnepaneel linksboven),Clearline Fusion Querformat-Eckumbausatz - Ecke unten links (Solarmodul oben links),Clearline Fusion landskap hjørnesett - Venstre nedre hjørne (venstre panel over),,,SB16-J,Fusion sarking bracket kit - for use with F16-J on roofs without tile battens,Set Fusion-volplaatbeugels - voor gebruik met F16-J op daken zonder panlatten,Fusion Dachschalungsbefestigungssatz - zur Verwendung mit F16-J auf Dächern ohne Ziegellattung,Fusion sarking brakett kit - til bruk med F16-J på tak uten taksteins lekter (Scottland),,,,,,,
CRB,Clearline Fusion portrait corner conversion kit - right bottom corner,ClearlineFusion conversiepakket portretgericht - rechter benedenhoek,Clearline Fusion Hochformat-Eckumbausatz - Ecke unten rechts,Clearline Fusion portrett hjørnesett - Høyre nedre hjørne,,,LCRB,Clearline Fusion landscape corner conversion kit - right bottom corner,ClearlineFusion conversiepakket landschapsgericht - rechter benedenhoek,Clearline Fusion Querformat-Eckumbausatz - Ecke unten rechts,Clearline Fusion landskap hjørnesett - Høyre nedre hjørne,,,SB16-AT,Fusion sarking bracket kit - for use with VAT16 on roofs without tile battens,Set Fusion-volplaatbeugels - voor gebruik met VAT16 op daken zonder panlatten,Fusion Dachschalungsbefestigungssatz - zur Verwendung mit VAT16 auf Dächern ohne Ziegellattung,Fusion sarking brakett kit - til bruk med VAT 16 på tak uten taksteins lekter (Scottland),,,,,,,
